a_o,mes,nacionalidad,codigo_iso_3166,femenino,masculino,total,latitud_longitud
2016,Febrero,Desconocido,99999,1,4,5,"(3.541112,-76.384584)"
2021,Septiembre,Turquía,792,1,3,4,"(10.445761,-75.516429)"
2012,Julio,Francia,250,61,73,134,"(0.814836,-77.662532)"
2012,Junio,Turquía,792,0,3,3,"(11.360009,-72.129330)"
2013,Julio,Eslovaquia,703,12,14,26,"(3.541112,-76.384584)"
2012,Septiembre,Bolivia,68,2,0,2,"(7.927209,-72.507910)"
2023,Enero,Francia,250,16,11,27,"(-4.197703,-69.941278)"
2021,Diciembre,España,724,8,10,18,"(7.927209,-72.507910)"
2013,Agosto,Países Bajos,528,6,6,12,"(7.128456,-73.183637)"
2013,Julio,Países Bajos,528,0,1,1,"(10.886611,-74.776708)"
2022,Octubre,Uruguay,858,1,2,3,"(7.818934,-72.453226)"
2012,Julio,Isla de Man,833,1,8,9,"(10.886611,-74.776708)"
2012,Febrero,Panamá,591,0,5,5,"(10.408582,-75.538003)"
2019,Noviembre,Bélgica,56,1,1,2,"(0.25129,-76.875963)"
2022,Marzo,Eslovaquia,703,1,0,1,"(-4.197703,-69.941278)"
2013,Junio,Sudáfrica,710,3,0,3,"(10.408582,-75.538003)"
2022,Junio,Eslovenia,705,0,1,1,"(12.5744111,-81.703935)"
2013,Julio,Surinam,740,3,2,5,"(6.171601,-75.427454)"
2023,Abril,Polonia,616,1,0,1,"(12.586067,-81.702563)"
2023,Marzo,Islandia,352,2,3,5,"(4.697144,-74.140516)"
2019,Enero,Austria,40,0,1,1,"(13.3387613,-81.372937)"
2022,Agosto,Honduras,340,19,25,44,"(10.886611,-74.776708)"
2014,Enero,Eslovaquia,703,0,2,2,"(6.171601,-75.427454)"
2023,Abril,Italia,380,28,40,68,"(7.818934,-72.453226)"
2012,Septiembre,Finlandia,246,0,2,2,"(3.541112,-76.384584)"
2018,Julio,Cuba,192,1,2,3,"(7.818934,-72.453226)"
2021,Agosto,India,356,0,2,2,"(11.247723,-74.213989)"
2018,Junio,Suiza,756,1,1,2,"(4.815061,-75.736532)"
2015,Junio,Dinamarca,208,2,1,3,"(10.408582,-75.538003)"
2019,Octubre,Israel,376,119,365,484,"(4.697144,-74.140516)"
2013,Junio,Italia,380,17,43,60,"(10.445761,-75.516429)"
2014,Junio,Cuba,192,14,19,33,"(10.445761,-75.516429)"
2023,Febrero,Taiwán,158,8,9,17,"(6.171601,-75.427454)"
2016,Julio,Nueva Zelanda,554,2,1,3,"(3.541112,-76.384584)"
2016,Enero,Cuba,192,0,1,1,"(4.452882,-75.766298)"
2020,Marzo,Letonia,428,1,0,1,"(6.171601,-75.427454)"
2012,Agosto,Honduras,340,0,7,7,"(10.408582,-75.538003)"
2015,Agosto,Cuba,192,0,2,2,"(12.5744111,-81.703935)"
2021,Septiembre,Israel,376,209,435,644,"(4.697144,-74.140516)"
2017,Noviembre,Argelia,12,2,3,5,"(4.697144,-74.140516)"
2023,Enero,Argentina,32,1,3,4,"(7.927209,-72.507910)"
2023,Enero,Malta,470,4,0,4,"(10.445761,-75.516429)"
2022,Noviembre,Bangladesh,50,0,1,1,"(10.886611,-74.776708)"
2021,Junio,Jamaica,388,5,9,14,"(10.445761,-75.516429)"
2021,Mayo,Malta,470,0,2,2,"(6.171601,-75.427454)"
2016,Julio,Desconocido,99999,0,3,3,"(6.171601,-75.427454)"
2020,Marzo,El Salvador,222,1,1,2,"(10.886611,-74.776708)"
2015,Noviembre,Costa Rica,188,2,3,5,"(4.815061,-75.736532)"
2019,Septiembre,Ecuador,218,21,50,71,"(10.408582,-75.538003)"
2016,Enero,Canadá,124,9,16,25,"(8.635765,-77.346578)"
2022,Enero,Zimbabue,716,0,1,1,"(6.171601,-75.427454)"
2017,Diciembre,Líbano,422,16,43,59,"(4.697144,-74.140516)"
2017,Mayo,Austria,40,11,8,19,"(0.814836,-77.662532)"
